,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,avg_ncluster_01,std_ncluster_01,avg_ncluster_001,std_ncluster_001,avg_ncluster_00001,std_ncluster_00001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
82,rewiring,er,250,0.1,0.5,0.3,0.8,100000,39044.6,29738.813013299638,1.5367458866621442,0.4457557953915767,1.5367458866621442,0.4457557953915767,1.5664945323595565,0.4138391012336527,0.5017926781469683,0.1444529408705037,0.5280298384658205,0.4129081917163617,0.30916738631057333,0.17985256903436064
83,rewiring,er,250,0.1,0.5,0.3,1.2,100000,96428.0,4433.888135711139,2.001631154253834,0.09729193775772214,2.084543286087725,0.15689129665695126,2.156588989807795,0.20662797225375573,0.5033385416517359,0.20441572561965,0.4661404116977195,0.7880396861798781,0.06335855072518505,0.3432505455300858
84,rewiring,er,250,0.1,0.5,0.3,1.6,100000,44278.6,27694.190528701143,9.376117356129775,0.3236689274244354,50.85375700378428,4.516991425665696,135.10722999721747,23.20609693206148,0.5027029059940868,0.2885791568345081,0.5033473086231858,2.27251682572404,0.02116419501595273,0.9898519755235055
85,rewiring,er,250,0.1,0.5,0.4,0.0,100000,191.0,136.79912280420515,1.0145610198566972,0.007943828387421862,1.0162330810428446,0.010335437102979218,1.022762938803516,0.008099158303595413,0.5072507864377054,0.02945397360922368,0.5082459895148925,0.04470273827691954,0.024054194305127508,0.01947140425709322
86,rewiring,er,250,0.1,0.5,0.4,0.4,100000,2006.2,2471.208481694736,1.0228082778447083,0.014270161130017563,1.0244541215588543,0.012886069250357709,1.0345252167993844,0.020117591464654274,0.5015668372904064,0.03996286339127629,0.5017133876216908,0.06998390831264462,0.029678530489839625,0.03048325500342822
87,rewiring,er,250,0.1,0.5,0.4,0.8,100000,5127.2,1112.2980535809636,1.0261090299660671,0.016801798311932924,1.0278113481493487,0.01537400645263555,1.0278534195659643,0.015425652086654675,0.4952304282763825,0.049645421468083664,0.4952108613845887,0.0693741629606503,0.03890861910150595,0.03021766504853512
88,rewiring,er,250,0.1,0.5,0.4,1.2,100000,90802.6,7221.048638528895,1.0568454579907098,0.02676584604323844,1.0799142219178717,0.027653910554203995,1.087461517335122,0.034647354677502316,0.4932078285518479,0.042551826057954434,0.494879132781432,0.18125020012539578,0.07100527754949078,0.07894809254096156
89,rewiring,er,250,0.1,0.5,0.4,1.6,100000,27904.2,14728.711055621941,9.389448806195665,0.2403463279038477,52.77866371291979,3.6948853518666898,144.96267824751553,10.985283292885034,0.5018800737068957,0.29130677970521424,0.4968069900998181,2.281960413166291,0.0094942269854214,0.9939653680317274
90,rewiring,ba,250,5.0,0.0,0.2,0.0,100000,225.8,53.55520516252365,1.9958015819166592,0.0704940027856562,2.0162785867861124,0.0761252142238116,2.064784188074537,0.0930439327336535,0.510439125041467,0.2297740930907354,0.6113342805666806,0.7868730893997892,0.042411704278614154,0.3427424049018894
91,rewiring,ba,250,5.0,0.0,0.2,0.4,100000,259.8,84.28855201034123,2.028567117779934,0.032564678093540946,2.034153549828923,0.036930408137942,2.219824588435196,0.12138633223938368,0.4970475127660813,0.23492649720619035,0.6177283413071748,0.778797856914833,0.050975288406983545,0.3392250338806655
92,rewiring,ba,250,5.0,0.0,0.2,0.8,100000,4823.8,995.839826478134,1.9142991222570724,0.2853945461938597,1.9280716718060569,0.28951016356734866,2.05050049031878,0.34716978362982803,0.50036568501331,0.22564550679669226,0.4969455748522404,0.7683656549470985,0.15551550466308006,0.33468102540075817
